행정동코드,행정동_명,카페수,총매출액,총거래건수,평균_카페_매출,동별(2),동별(3)
11110515,서울특별시 종로구 청운효자동,57,7325200043.0,440749.0,128512281.45614035,,
11110530,서울특별시 종로구 사직동,172,12249575923.0,1233446.0,71218464.66860466,종로구,사직동
11110540,서울특별시 종로구 삼청동,91,12839608668.0,705737.0,141094600.74725273,종로구,삼청동
11110550,서울특별시 종로구 부암동,40,1095248645.0,88169.0,27381216.125,종로구,부암동
11110560,서울특별시 종로구 평창동,25,625907084.0,61481.0,25036283.36,종로구,평창동
11110570,서울특별시 종로구 무악동,8,424462413.0,46353.0,53057801.625,종로구,무악동
11110580,서울특별시 종로구 교남동,12,318139531.0,40004.0,26511627.583333332,종로구,교남동
11110600,서울특별시 종로구 가회동,52,5670679391.0,515461.0,109051526.75,종로구,가회동
11110615,서울특별시 종로구 종로1·2·3·4가동,308,28150205239.0,2757737.0,91396770.25649351,,
11110630,서울특별시 종로구 종로5·6가동,66,2982453272.0,411274.0,45188685.93939394,,
11110640,서울특별시 종로구 이화동,73,6483145666.0,655401.0,88810214.60273972,종로구,이화동
11110650,서울특별시 종로구 혜화동,102,5318099889.0,550456.0,52138234.205882356,종로구,혜화동
11110670,서울특별시 종로구 창신1동,31,665533118.0,95816.0,21468810.258064516,종로구,창신1동
11110670,서울특별시 종로구 창신1동,31,665533118.0,95816.0,21468810.258064516,종로구,창신2동
11110670,서울특별시 종로구 창신1동,31,665533118.0,95816.0,21468810.258064516,종로구,창신3동
11110680,서울특별시 종로구 창신2동,18,144986971.0,23304.0,8054831.722222222,,
11110690,서울특별시 종로구 창신3동,6,41438224.0,4724.0,6906370.666666667,,
11110700,서울특별시 종로구 숭인1동,11,34132049.0,4294.0,3102913.5454545454,종로구,숭인1동
11110700,서울특별시 종로구 숭인1동,11,34132049.0,4294.0,3102913.5454545454,종로구,숭인2동
11110710,서울특별시 종로구 숭인2동,17,825912462.0,119641.0,48583086.0,,
11140520,서울특별시 중구 소공동,297,19072086029.0,1589860.0,64215777.875420876,중구,소공동
11140540,서울특별시 중구 회현동,334,10613785055.0,1395121.0,31777799.565868262,,
11140550,서울특별시 중구 명동,312,29180766299.0,3005339.0,93528097.11217949,,
11140570,서울특별시 중구 필동,83,4614336732.0,686409.0,55594418.45783132,,
11140580,서울특별시 중구 장충동,55,1507653631.0,134207.0,27411884.2,,
11140590,서울특별시 중구 광희동,125,3903391598.0,492355.0,31227132.784,,
11140605,서울특별시 중구 을지로동,78,6383627584.0,668008.0,81841379.28205128,,
11140615,서울특별시 중구 신당동,60,1203161226.0,230444.0,20052687.1,,
11140625,서울특별시 중구 다산동,49,1834702315.0,171614.0,37442904.3877551,,
11140635,서울특별시 중구 약수동,40,691816867.0,88178.0,17295421.675,,
11140645,서울특별시 중구 청구동,17,322568172.0,36522.0,18974598.352941178,,
11140650,서울특별시 중구 신당5동,26,754471644.0,70540.0,29018140.153846152,,
11140665,서울특별시 중구 동화동,22,141376686.0,16328.0,6426213.0,,
11140670,서울특별시 중구 황학동,28,1000584122.0,169686.0,35735147.21428572,중구,황학동
11140680,서울특별시 중구 중림동,39,839191599.0,99222.0,21517733.307692308,중구,중림동
11170510,서울특별시 용산구 후암동,43,1455375145.0,153451.0,33845933.60465116,용산구,후암동
11170520,서울특별시 용산구 용산2가동,59,1729810909.0,117280.0,29318828.966101695,,
11170530,서울특별시 용산구 남영동,85,4021550447.0,372181.0,47312358.2,용산구,남영동
11170555,서울특별시 용산구 청파동,90,2930673706.0,440501.0,32563041.17777778,,
11170560,서울특별시 용산구 원효로1동,52,1303354976.0,180674.0,25064518.769230768,,
11170570,서울특별시 용산구 원효로2동,21,440790103.0,62390.0,20990004.904761903,,
11170580,서울특별시 용산구 효창동,26,930717844.0,74156.0,35796840.15384615,용산구,효창동
11170590,서울특별시 용산구 용문동,18,137889049.0,16802.0,7660502.722222222,용산구,용문동
11170625,서울특별시 용산구 한강로동,246,6168089647.0,644015.0,25073535.150406506,,
11170630,서울특별시 용산구 이촌1동,38,747989005.0,123396.0,19683921.184210528,용산구,이촌1동
11170630,서울특별시 용산구 이촌1동,38,747989005.0,123396.0,19683921.184210528,용산구,이촌2동
11170640,서울특별시 용산구 이촌2동,16,42154848.0,3581.0,2634678.0,,
11170650,서울특별시 용산구 이태원1동,105,3994288485.0,354720.0,38040842.71428572,용산구,이태원1동
11170650,서울특별시 용산구 이태원1동,105,3994288485.0,354720.0,38040842.71428572,용산구,이태원2동
11170660,서울특별시 용산구 이태원2동,90,940445467.0,55063.0,10449394.077777777,,
11170685,서울특별시 용산구 한남동,210,3832249218.0,323574.0,18248805.8,용산구,한남동
11170690,서울특별시 용산구 서빙고동,23,32618384.0,3486.0,1418190.608695652,용산구,서빙고동
11170700,서울특별시 용산구 보광동,26,148577545.0,21728.0,5714520.961538462,용산구,보광동
11200520,서울특별시 성동구 왕십리2동,21,430574606.0,43709.0,20503552.666666668,,
11200535,서울특별시 성동구 왕십리도선동,98,634570014.0,97158.0,6475204.224489796,,
11200540,서울특별시 성동구 마장동,26,892219299.0,82400.0,34316126.884615384,성동구,마장동
11200550,서울특별시 성동구 사근동,64,2813543483.0,370807.0,43961616.921875,성동구,사근동
11200550,서울특별시 성동구 사근동,64,2813543483.0,370807.0,43961616.921875,성동구,행당1동
11200550,서울특별시 성동구 사근동,64,2813543483.0,370807.0,43961616.921875,성동구,행당2동
11200560,서울특별시 성동구 행당1동,65,1383933217.0,156943.0,21291280.26153846,,
11200570,서울특별시 성동구 행당2동,29,135535944.0,12039.0,4673653.24137931,,
11200580,서울특별시 성동구 응봉동,10,98801578.0,11625.0,9880157.8,성동구,응봉동
11200590,서울특별시 성동구 금호1가동,19,316197192.0,33174.0,16641957.47368421,,
11200615,서울특별시 성동구 금호2·3가동,54,489386580.0,57463.0,9062714.444444444,,
11200620,서울특별시 성동구 금호4가동,17,126129118.0,14995.0,7419359.882352941,,
11200645,서울특별시 성동구 옥수동,51,434783645.0,60062.0,8525169.509803921,성동구,옥수동
11200650,서울특별시 성동구 성수1가1동,61,1558049024.0,189528.0,25541787.278688524,,
11200660,서울특별시 성동구 성수1가2동,130,6397281715.0,564874.0,49209859.34615385,,
11200670,서울특별시 성동구 성수2가1동,98,3353710939.0,386486.0,34221540.19387755,,
11200690,서울특별시 성동구 성수2가3동,144,6320928667.0,734388.0,43895337.965277776,,
11200720,서울특별시 성동구 송정동,27,89376585.0,18990.0,3310243.888888889,성동구,송정동
11200790,서울특별시 성동구 용답동,31,1080362868.0,150892.0,34850415.09677419,성동구,용답동
11215710,서울특별시 광진구 화양동,228,9362216918.0,1175246.0,41062354.903508775,광진구,화양동
11215730,서울특별시 광진구 군자동,112,2067896445.0,321032.0,18463361.11607143,광진구,군자동
11215740,서울특별시 광진구 중곡1동,114,335474185.0,39169.0,2942756.00877193,광진구,중곡1동
11215740,서울특별시 광진구 중곡1동,114,335474185.0,39169.0,2942756.00877193,광진구,중곡2동
11215740,서울특별시 광진구 중곡1동,114,335474185.0,39169.0,2942756.00877193,광진구,중곡3동
11215740,서울특별시 광진구 중곡1동,114,335474185.0,39169.0,2942756.00877193,광진구,중곡4동
11215750,서울특별시 광진구 중곡2동,84,927304871.0,94851.0,11039343.702380951,,
11215760,서울특별시 광진구 중곡3동,92,1376179846.0,177779.0,14958476.586956521,,
11215770,서울특별시 광진구 중곡4동,79,1343655344.0,265538.0,17008295.493670885,,
11215780,서울특별시 광진구 능동,42,1352201024.0,140720.0,32195262.476190478,광진구,능동
11215810,서울특별시 광진구 광장동,96,3335946034.0,423168.0,34749437.854166664,광진구,광장동
11215820,서울특별시 광진구 자양1동,92,527724246.0,61923.0,5736133.108695652,광진구,자양1동
11215820,서울특별시 광진구 자양1동,92,527724246.0,61923.0,5736133.108695652,광진구,자양2동
11215820,서울특별시 광진구 자양1동,92,527724246.0,61923.0,5736133.108695652,광진구,자양3동
11215820,서울특별시 광진구 자양1동,92,527724246.0,61923.0,5736133.108695652,광진구,자양4동
11215830,서울특별시 광진구 자양2동,63,1038737900.0,151183.0,16487903.174603175,,
11215840,서울특별시 광진구 자양3동,124,4510869676.0,557355.0,36377981.258064516,,
11215847,서울특별시 광진구 자양4동,130,1170306301.0,135458.0,9002356.161538461,,
11215850,서울특별시 광진구 구의1동,123,1345535351.0,185616.0,10939311.796747968,광진구,구의1동
11215850,서울특별시 광진구 구의1동,123,1345535351.0,185616.0,10939311.796747968,광진구,구의2동
11215850,서울특별시 광진구 구의1동,123,1345535351.0,185616.0,10939311.796747968,광진구,구의3동
11215860,서울특별시 광진구 구의2동,71,778673430.0,101665.0,10967231.408450704,,
11215870,서울특별시 광진구 구의3동,128,2862812527.0,376584.0,22365722.8671875,,
11230536,서울특별시 동대문구 용신동,300,2885774866.0,423906.0,9619249.553333333,,
11230545,서울특별시 동대문구 제기동,195,529381597.0,74603.0,2714777.4205128206,동대문구,제기동
11230560,서울특별시 동대문구 전농1동,288,901671769.0,133531.0,3130804.753472222,동대문구,전농1동
11230560,서울특별시 동대문구 전농1동,288,901671769.0,133531.0,3130804.753472222,동대문구,전농2동
11230570,서울특별시 동대문구 전농2동,57,708907306.0,117887.0,12436970.280701755,,
11230600,서울특별시 동대문구 답십리1동,120,989625606.0,118428.0,8246880.05,동대문구,답십리2동
11230600,서울특별시 동대문구 답십리1동,120,989625606.0,118428.0,8246880.05,동대문구,답십리1동
11230610,서울특별시 동대문구 답십리2동,109,918525118.0,95598.0,8426835.944954129,,
11230650,서울특별시 동대문구 장안1동,236,1905836903.0,290786.0,8075580.097457627,동대문구,장안1동
11230650,서울특별시 동대문구 장안1동,236,1905836903.0,290786.0,8075580.097457627,동대문구,장안2동
11230660,서울특별시 동대문구 장안2동,235,2605728924.0,315406.0,11088208.187234042,,
11230705,서울특별시 동대문구 청량리동,129,1036018154.0,147225.0,8031148.480620155,동대문구,청량리동
11230710,서울특별시 동대문구 회기동,211,4538621607.0,549435.0,21510055.009478673,동대문구,회기동
11230720,서울특별시 동대문구 휘경1동,103,1173943702.0,189008.0,11397511.669902913,동대문구,휘경1동
11230720,서울특별시 동대문구 휘경1동,103,1173943702.0,189008.0,11397511.669902913,동대문구,휘경2동
11230730,서울특별시 동대문구 휘경2동,72,190329223.0,20568.0,2643461.4305555555,,
11230740,서울특별시 동대문구 이문1동,192,3356941145.0,594242.0,17484068.463541668,동대문구,이문1동
11230740,서울특별시 동대문구 이문1동,192,3356941145.0,594242.0,17484068.463541668,동대문구,이문2동
11230750,서울특별시 동대문구 이문2동,59,399160881.0,36228.0,6765438.661016949,,
11260520,서울특별시 중랑구 면목2동,34,817323879.0,83752.0,24038937.61764706,,
11260540,서울특별시 중랑구 면목4동,52,485224453.0,69113.0,9331239.48076923,,
11260550,서울특별시 중랑구 면목5동,13,,,,,
11260565,서울특별시 중랑구 면목본동,79,841768092.0,108963.0,10655292.303797469,중랑구,면목2동
11260565,서울특별시 중랑구 면목본동,79,841768092.0,108963.0,10655292.303797469,중랑구,면목4동
11260565,서울특별시 중랑구 면목본동,79,841768092.0,108963.0,10655292.303797469,중랑구,면목5동
11260565,서울특별시 중랑구 면목본동,79,841768092.0,108963.0,10655292.303797469,중랑구,면목7동
11260565,서울특별시 중랑구 면목본동,79,841768092.0,108963.0,10655292.303797469,중랑구,면목3.8동
11260570,서울특별시 중랑구 면목7동,52,1683309722.0,207347.0,32371340.807692308,,
11260575,서울특별시 중랑구 면목3·8동,66,1069126788.0,170506.0,16198890.727272727,,
11260580,서울특별시 중랑구 상봉1동,36,461371727.0,71418.0,12815881.305555556,중랑구,상봉1동
11260580,서울특별시 중랑구 상봉1동,36,461371727.0,71418.0,12815881.305555556,중랑구,상봉2동
11260590,서울특별시 중랑구 상봉2동,66,1542463573.0,232096.0,23370660.196969695,,
11260600,서울특별시 중랑구 중화1동,29,61296832.0,7167.0,2113683.8620689656,중랑구,중화1동
11260600,서울특별시 중랑구 중화1동,29,61296832.0,7167.0,2113683.8620689656,중랑구,중화2동
11260610,서울특별시 중랑구 중화2동,51,777499678.0,71225.0,15245091.725490196,,
11260620,서울특별시 중랑구 묵1동,60,1743355902.0,208996.0,29055931.7,중랑구,묵1동
11260620,서울특별시 중랑구 묵1동,60,1743355902.0,208996.0,29055931.7,중랑구,묵2동
11260630,서울특별시 중랑구 묵2동,40,268232101.0,51369.0,6705802.525,,
11260655,서울특별시 중랑구 망우본동,88,1324149059.0,168651.0,15047148.397727273,중랑구,망우3동
11260660,서울특별시 중랑구 망우3동,21,822305323.0,85666.0,39157396.333333336,,
11260680,서울특별시 중랑구 신내1동,46,1198586690.0,152593.0,26056232.391304348,중랑구,신내1동
11260680,서울특별시 중랑구 신내1동,46,1198586690.0,152593.0,26056232.391304348,중랑구,신내2동
11260690,서울특별시 중랑구 신내2동,32,2295908255.0,252882.0,71747132.96875,,
11290525,서울특별시 성북구 성북동,68,1719214097.0,144674.0,25282560.25,성북구,성북동
11290555,서울특별시 성북구 삼선동,100,824522560.0,116695.0,8245225.6,,
11290575,서울특별시 성북구 동선동,146,8316342013.0,1256931.0,56961246.66438356,,
11290580,서울특별시 성북구 돈암1동,13,23264937.0,802.0,1789610.5384615385,성북구,돈암1동
11290580,서울특별시 성북구 돈암1동,13,23264937.0,802.0,1789610.5384615385,성북구,돈암2동
11290590,서울특별시 성북구 돈암2동,19,672000000.0,127362.0,35368421.05263158,,
11290600,서울특별시 성북구 안암동,90,5446462053.0,915747.0,60516245.03333333,,
11290610,서울특별시 성북구 보문동,40,716786427.0,79330.0,17919660.675,,
11290620,서울특별시 성북구 정릉1동,25,192413370.0,25043.0,7696534.8,성북구,정릉1동
11290620,서울특별시 성북구 정릉1동,25,192413370.0,25043.0,7696534.8,성북구,정릉2동
11290620,서울특별시 성북구 정릉1동,25,192413370.0,25043.0,7696534.8,성북구,정릉3동
11290620,서울특별시 성북구 정릉1동,25,192413370.0,25043.0,7696534.8,성북구,정릉4동
11290630,서울특별시 성북구 정릉2동,32,602654238.0,77718.0,18832944.9375,,
11290640,서울특별시 성북구 정릉3동,31,892749410.0,176666.0,28798368.06451613,,
11290650,서울특별시 성북구 정릉4동,32,740514589.0,89762.0,23141080.90625,,
11290660,서울특별시 성북구 길음1동,68,651520776.0,80154.0,9581187.88235294,성북구,길음1동
